Clothing 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-5 	 0.0000 TEST SET,0.0014,0.0011,0.0009	||||
Clothing 	 MNRec_intentagGCN_Gumbelkeep5	 10  	 ||||Top-5 	 0.0000 TEST SET,0.0018,0.0012,0.0010	||||
Clothing 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-5 	 0.0000 TEST SET,0.0018,0.0012,0.0010	||||
Clothing 	 MNRec_intentagGCN_Gumbelkeep5	 30  	 ||||Top-5 	 0.0000 TEST SET,0.0018,0.0013,0.0011	||||
Clothing 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-5 	 0.0000 TEST SET,0.0022,0.0017,0.0016	||||
Clothing 	 MNRec_intentagGCN_Gumbelkeep5	 50  	 ||||Top-5 	 0.0000 TEST SET,0.0029,0.0017,0.0014	||||
Clothing 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-5 	 0.0000 TEST SET,0.0032,0.0020,0.0015	||||
Clothing 	 MNRec_intentagGCN_Gumbelkeep5	 70  	 ||||Top-5 	 0.0000 TEST SET,0.0036,0.0022,0.0018	||||
Clothing 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-5 	 0.0000 TEST SET,0.0040,0.0025,0.0020	||||
Clothing 	 MNRec_intentagGCN_Gumbelkeep5	 90  	 ||||Top-5 	 0.0000 TEST SET,0.0045,0.0029,0.0023	||||
Clothing 	 MNRec_intentagGCN_Gumbelkeep5	 100  	 ||||Top-5 	 0.0000 TEST SET,0.0042,0.0025,0.0019	||||
dianping 	 MNRec_intentagGCN_Gumbelkeep5	 0  	 ||||Top-5 	 0.0000 TEST SET,0.0021,0.0012,0.0009	||||
dianping 	 MNRec_intentagGCN_Gumbelkeep5	 10  	 ||||Top-5 	 0.0000 TEST SET,0.0037,0.0020,0.0015	||||
dianping 	 MNRec_intentagGCN_Gumbelkeep5	 20  	 ||||Top-5 	 0.0000 TEST SET,0.0041,0.0022,0.0015	||||
dianping 	 MNRec_intentagGCN_Gumbelkeep5	 30  	 ||||Top-5 	 0.0000 TEST SET,0.0039,0.0022,0.0016	||||
dianping 	 MNRec_intentagGCN_Gumbelkeep5	 40  	 ||||Top-5 	 0.0000 TEST SET,0.0049,0.0029,0.0023	||||
dianping 	 MNRec_intentagGCN_Gumbelkeep5	 50  	 ||||Top-5 	 0.0000 TEST SET,0.0054,0.0030,0.0022	||||
dianping 	 MNRec_intentagGCN_Gumbelkeep5	 60  	 ||||Top-5 	 0.0000 TEST SET,0.0061,0.0035,0.0026	||||
dianping 	 MNRec_intentagGCN_Gumbelkeep5	 70  	 ||||Top-5 	 0.0000 TEST SET,0.0070,0.0043,0.0035	||||
dianping 	 MNRec_intentagGCN_Gumbelkeep5	 80  	 ||||Top-5 	 0.0000 TEST SET,0.0069,0.0039,0.0029	||||
dianping 	 MNRec_intentagGCN_Gumbelkeep5	 90  	 ||||Top-5 	 0.0000 TEST SET,0.0082,0.0049,0.0039	||||
